Name,P4 - Re,P6 - Ob_pos [m],P7 - Ob_H [m],P1 - Delta Cp,P8 - DSP [Pa],P10 - USP [Pa]
DP 5,999.9999999999975,0.64727272727272711,0.11636363636363636,9.20468,1.27245,5.87479
DP 36,572.72727272727275,0.32000000000000006,0.22909090909090912,10.3956,2.03157,7.22936
DP 79,972.72727272727036,0.894545454545453,0.38545454545454505,8.86085,1.39173,5.82216
DP 86,145.45454545454547,0.42909090909090913,0.41090909090909034,17.385,7.34933,16.0418
DP 154,482.49999999999994,0.38,0.11000000000000001,10.9893,2.36858,7.86321
DP 155,662.5,0.74,0.13,10.0252,1.8154,6.82799
DP 156,437.5,0.26,0.15000000000000002,11.307,2.57115,8.22467
DP 157,617.5,0.90000000000000013,0.17,10.1086,1.94625,7.00055
DP 158,752.50000000000011,0.78,0.19,9.59227,1.64935,6.44549
DP 159,932.50000000000023,0.65999999999999992,0.21000000000000002,9.12251,1.38966,5.95092
DP 160,257.5,0.9800000000000002,0.22999999999999998,13.4272,4.24236,10.956
DP 161,707.5,0.22000000000000003,0.25,9.88638,1.70184,6.64503
DP 162,302.5,0.54,0.27,12.5777,3.65749,9.94633
DP 163,887.50000000000023,0.34,0.29000000000000004,9.1743,1.45538,6.04252
DP 164,167.5,0.61999999999999988,0.30999999999999994,16.1458,6.40145,14.4744
DP 165,347.5,0.5,0.32999999999999996,11.8982,3.22474,9.17385
DP 166,797.50000000000011,0.94000000000000017,0.35,9.26832,1.61743,6.25159
DP 167,212.5,0.7,0.37,14.5889,5.09347,12.3879
DP 168,122.5,0.45999999999999996,0.39,18.9848,8.68628,18.1787
DP 169,527.5,0.82000000000000006,0.41000000000000003,10.5454,2.22699,7.49971
DP 170,572.5,0.8600000000000001,0.43000000000000005,10.3917,2.05888,7.25473
DP 171,977.50000000000011,0.58000000000000007,0.45000000000000007,8.96592,1.36266,5.84562
DP 172,842.50000000000011,0.42000000000000004,0.47000000000000008,9.34061,1.5114,6.1817
DP 173,392.49999999999994,0.30000000000000004,0.4900000000000001,11.7781,2.82539,8.71445